frame,Neutral,Happiness,Sadness,Surprise,Fear,Disgust,Anger
000001,0.5410568,0.109682135,0.05251285,0.12609376,0.03366533,0.008104401,0.12888473
000002,0.5410568,0.109682135,0.05251285,0.12609376,0.03366533,0.008104401,0.12888473
000003,0.5410568,0.109682135,0.05251285,0.12609376,0.03366533,0.008104401,0.12888473
000004,0.5410568,0.109682135,0.05251285,0.12609376,0.03366533,0.008104401,0.12888473
000005,0.5410568,0.109682135,0.05251285,0.12609376,0.03366533,0.008104401,0.12888473
000006,0.5410568,0.109682135,0.05251285,0.12609376,0.03366533,0.008104401,0.12888473
000007,0.5410568,0.109682135,0.05251285,0.12609376,0.03366533,0.008104401,0.12888473
000008,0.5410568,0.109682135,0.05251285,0.12609376,0.03366533,0.008104401,0.12888473
000009,0.5410568,0.109682135,0.05251285,0.12609376,0.03366533,0.008104401,0.12888473
000010,0.5410568,0.109682135,0.05251285,0.12609376,0.03366533,0.008104401,0.12888473
000011,0.5410568,0.109682135,0.05251285,0.12609376,0.03366533,0.008104401,0.12888473
000012,0.5410568,0.109682135,0.05251285,0.12609376,0.03366533,0.008104401,0.12888473
000013,0.5410568,0.109682135,0.05251285,0.12609376,0.03366533,0.008104401,0.12888473
000014,0.5410568,0.109682135,0.05251285,0.12609376,0.03366533,0.008104401,0.12888473
000015,0.5410568,0.109682135,0.05251285,0.12609376,0.03366533,0.008104401,0.12888473
000016,0.48912793,0.17170094,0.049983002,0.13382302,0.029377278,0.008417679,0.11757015
000017,0.48912793,0.17170094,0.049983002,0.13382302,0.029377278,0.008417679,0.11757015
000018,0.48912793,0.17170094,0.049983002,0.13382302,0.029377278,0.008417679,0.11757015
000019,0.48912793,0.17170094,0.049983002,0.13382302,0.029377278,0.008417679,0.11757015
000020,0.48912793,0.17170094,0.049983002,0.13382302,0.029377278,0.008417679,0.11757015
000021,0.48912793,0.17170094,0.049983002,0.13382302,0.029377278,0.008417679,0.11757015
000022,0.48912793,0.17170094,0.049983002,0.13382302,0.029377278,0.008417679,0.11757015
000023,0.48912793,0.17170094,0.049983002,0.13382302,0.029377278,0.008417679,0.11757015
000024,0.48912793,0.17170094,0.049983002,0.13382302,0.029377278,0.008417679,0.11757015
000025,0.48912793,0.17170094,0.049983002,0.13382302,0.029377278,0.008417679,0.11757015
000026,0.48912793,0.17170094,0.049983002,0.13382302,0.029377278,0.008417679,0.11757015
000027,0.48912793,0.17170094,0.049983002,0.13382302,0.029377278,0.008417679,0.11757015
000028,0.48912793,0.17170094,0.049983002,0.13382302,0.029377278,0.008417679,0.11757015
000029,0.43719906,0.23371975,0.04745315,0.14155228,0.025089229,0.008730957,0.10625556
000030,0.43719906,0.23371975,0.04745315,0.14155228,0.025089229,0.008730957,0.10625556
000031,0.30433634,0.42682073,0.03926397,0.12698987,0.017670413,0.008757046,0.07616163
000032,0.30433634,0.42682073,0.03926397,0.12698987,0.017670413,0.008757046,0.07616163
000033,0.30433634,0.42682073,0.03926397,0.12698987,0.017670413,0.008757046,0.07616163
000034,0.30433634,0.42682073,0.03926397,0.12698987,0.017670413,0.008757046,0.07616163
000035,0.30433634,0.42682073,0.03926397,0.12698987,0.017670413,0.008757046,0.07616163
000036,0.30433634,0.42682073,0.03926397,0.12698987,0.017670413,0.008757046,0.07616163
000037,0.30433634,0.42682073,0.03926397,0.12698987,0.017670413,0.008757046,0.07616163
000038,0.30433634,0.42682073,0.03926397,0.12698987,0.017670413,0.008757046,0.07616163
000039,0.30433634,0.42682073,0.03926397,0.12698987,0.017670413,0.008757046,0.07616163
000040,0.30433634,0.42682073,0.03926397,0.12698987,0.017670413,0.008757046,0.07616163
