frame,Happiness,Sadness,Surprise,Fear,Disgust,Anger
1,0.0153118,0.035016768,0.033883557,0.019623276,0.002830374,0.014937729
2,0.0153118,0.035016768,0.033883557,0.019623276,0.002830374,0.014937729
3,0.0153118,0.035016768,0.033883557,0.019623276,0.002830374,0.014937729
4,0.0153118,0.035016768,0.033883557,0.019623276,0.002830374,0.014937729
5,0.0153118,0.035016768,0.033883557,0.019623276,0.002830374,0.014937729
6,0.0153118,0.035016768,0.033883557,0.019623276,0.002830374,0.014937729
7,0.0153118,0.035016768,0.033883557,0.019623276,0.002830374,0.014937729
8,0.0153118,0.035016768,0.033883557,0.019623276,0.002830374,0.014937729
9,0.0153118,0.035016768,0.033883557,0.019623276,0.002830374,0.014937729
10,0.0153118,0.035016768,0.033883557,0.019623276,0.002830374,0.014937729
11,0.0153118,0.035016768,0.033883557,0.019623276,0.002830374,0.014937729
12,0.0153118,0.035016768,0.033883557,0.019623276,0.002830374,0.014937729
13,0.0153118,0.035016768,0.033883557,0.019623276,0.002830374,0.014937729
14,0.0153118,0.035016768,0.033883557,0.019623276,0.002830374,0.014937729
15,0.0153118,0.035016768,0.033883557,0.019623276,0.002830374,0.014937729
16,0.011348543,0.03162045,0.032434504,0.020984866,0.002753558,0.016629413
17,0.011348543,0.03162045,0.032434504,0.020984866,0.002753558,0.016629413
18,0.011348543,0.03162045,0.032434504,0.020984866,0.002753558,0.016629413
19,0.011348543,0.03162045,0.032434504,0.020984866,0.002753558,0.016629413
20,0.011348543,0.03162045,0.032434504,0.020984866,0.002753558,0.016629413
21,0.011348543,0.03162045,0.032434504,0.020984866,0.002753558,0.016629413
22,0.011348543,0.03162045,0.032434504,0.020984866,0.002753558,0.016629413
23,0.011348543,0.03162045,0.032434504,0.020984866,0.002753558,0.016629413
24,0.011348543,0.03162045,0.032434504,0.020984866,0.002753558,0.016629413
25,0.011348543,0.03162045,0.032434504,0.020984866,0.002753558,0.016629413
26,0.011348543,0.03162045,0.032434504,0.020984866,0.002753558,0.016629413
27,0.011348543,0.03162045,0.032434504,0.020984866,0.002753558,0.016629413
28,0.011348543,0.03162045,0.032434504,0.020984866,0.002753558,0.016629413
29,0.007385286,0.028224133,0.03098545,0.022346457,0.002676741,0.018321099
30,0.007385286,0.028224133,0.03098545,0.022346457,0.002676741,0.018321099
31,0.007116059,0.031543557,0.027340293,0.020326752,0.002707423,0.01805422
32,0.007116059,0.031543557,0.027340293,0.020326752,0.002707423,0.01805422
33,0.007116059,0.031543557,0.027340293,0.020326752,0.002707423,0.01805422
34,0.007116059,0.031543557,0.027340293,0.020326752,0.002707423,0.01805422
35,0.007116059,0.031543557,0.027340293,0.020326752,0.002707423,0.01805422
36,0.007116059,0.031543557,0.027340293,0.020326752,0.002707423,0.01805422
37,0.007116059,0.031543557,0.027340293,0.020326752,0.002707423,0.01805422
38,0.007116059,0.031543557,0.027340293,0.020326752,0.002707423,0.01805422
39,0.007116059,0.031543557,0.027340293,0.020326752,0.002707423,0.01805422
40,0.007116059,0.031543557,0.027340293,0.020326752,0.002707423,0.01805422
41,0.007116059,0.031543557,0.027340293,0.020326752,0.002707423,0.01805422
42,0.007116059,0.031543557,0.027340293,0.020326752,0.002707423,0.01805422
43,0.007116059,0.031543557,0.027340293,0.020326752,0.002707423,0.01805422
44,0.006846832,0.03486298,0.023695137,0.018307049,0.002738105,0.017787345
45,0.006846832,0.03486298,0.023695137,0.018307049,0.002738105,0.017787345
46,0.006794654,0.036242336,0.022612128,0.019079711,0.002917494,0.01798429
47,0.006794654,0.036242336,0.022612128,0.019079711,0.002917494,0.01798429
48,0.006794654,0.036242336,0.022612128,0.019079711,0.002917494,0.01798429
49,0.006794654,0.036242336,0.022612128,0.019079711,0.002917494,0.01798429
50,0.006794654,0.036242336,0.022612128,0.019079711,0.002917494,0.01798429
51,0.006794654,0.036242336,0.022612128,0.019079711,0.002917494,0.01798429
52,0.006794654,0.036242336,0.022612128,0.019079711,0.002917494,0.01798429
53,0.006794654,0.036242336,0.022612128,0.019079711,0.002917494,0.01798429
54,0.006794654,0.036242336,0.022612128,0.019079711,0.002917494,0.01798429
55,0.006794654,0.036242336,0.022612128,0.019079711,0.002917494,0.01798429
56,0.006794654,0.036242336,0.022612128,0.019079711,0.002917494,0.01798429
57,0.006794654,0.036242336,0.022612128,0.019079711,0.002917494,0.01798429
58,0.006794654,0.036242336,0.022612128,0.019079711,0.002917494,0.01798429
59,0.006742477,0.03762169,0.021529118,0.019852372,0.003096884,0.018181235
60,0.006742477,0.03762169,0.021529118,0.019852372,0.003096884,0.018181235
61,0.006674332,0.03462794,0.024281714,0.022979245,0.00323845,0.01882296
62,0.006674332,0.03462794,0.024281714,0.022979245,0.00323845,0.01882296
63,0.006674332,0.03462794,0.024281714,0.022979245,0.00323845,0.01882296
64,0.006674332,0.03462794,0.024281714,0.022979245,0.00323845,0.01882296
65,0.006674332,0.03462794,0.024281714,0.022979245,0.00323845,0.01882296
66,0.006674332,0.03462794,0.024281714,0.022979245,0.00323845,0.01882296
67,0.006674332,0.03462794,0.024281714,0.022979245,0.00323845,0.01882296
68,0.006674332,0.03462794,0.024281714,0.022979245,0.00323845,0.01882296
69,0.006674332,0.03462794,0.024281714,0.022979245,0.00323845,0.01882296
70,0.006674332,0.03462794,0.024281714,0.022979245,0.00323845,0.01882296
71,0.006674332,0.03462794,0.024281714,0.022979245,0.00323845,0.01882296
72,0.006674332,0.03462794,0.024281714,0.022979245,0.00323845,0.01882296
73,0.006674332,0.03462794,0.024281714,0.022979245,0.00323845,0.01882296
74,0.006606188,0.03163419,0.02703431,0.026106117,0.003380016,0.019464685
75,0.006606188,0.03163419,0.02703431,0.026106117,0.003380016,0.019464685
76,0.006648312,0.03152305,0.02662132,0.025270766,0.003226463,0.019557783
