frame,Neutral,Happiness,Sadness,Surprise,Fear,Disgust,Anger
000001,0.60893065,0.113758706,0.034768168,0.12690692,0.024502384,0.0042612045,0.08687193
000002,0.60893065,0.113758706,0.034768168,0.12690692,0.024502384,0.0042612045,0.08687193
000003,0.60893065,0.113758706,0.034768168,0.12690692,0.024502384,0.0042612045,0.08687193
000004,0.60893065,0.113758706,0.034768168,0.12690692,0.024502384,0.0042612045,0.08687193
000005,0.60893065,0.113758706,0.034768168,0.12690692,0.024502384,0.0042612045,0.08687193
000006,0.60893065,0.113758706,0.034768168,0.12690692,0.024502384,0.0042612045,0.08687193
000007,0.60893065,0.113758706,0.034768168,0.12690692,0.024502384,0.0042612045,0.08687193
000008,0.60893065,0.113758706,0.034768168,0.12690692,0.024502384,0.0042612045,0.08687193
000009,0.60893065,0.113758706,0.034768168,0.12690692,0.024502384,0.0042612045,0.08687193
000010,0.60893065,0.113758706,0.034768168,0.12690692,0.024502384,0.0042612045,0.08687193
000011,0.60893065,0.113758706,0.034768168,0.12690692,0.024502384,0.0042612045,0.08687193
000012,0.60893065,0.113758706,0.034768168,0.12690692,0.024502384,0.0042612045,0.08687193
000013,0.60893065,0.113758706,0.034768168,0.12690692,0.024502384,0.0042612045,0.08687193
000014,0.60893065,0.113758706,0.034768168,0.12690692,0.024502384,0.0042612045,0.08687193
000015,0.60893065,0.113758706,0.034768168,0.12690692,0.024502384,0.0042612045,0.08687193
000016,0.61104167,0.11378533,0.033848666,0.1268937,0.024325404,0.0042182966,0.085886866
000017,0.61104167,0.11378533,0.033848666,0.1268937,0.024325404,0.0042182966,0.085886866
000018,0.61104167,0.11378533,0.033848666,0.1268937,0.024325404,0.0042182966,0.085886866
000019,0.61104167,0.11378533,0.033848666,0.1268937,0.024325404,0.0042182966,0.085886866
000020,0.61104167,0.11378533,0.033848666,0.1268937,0.024325404,0.0042182966,0.085886866
000021,0.61104167,0.11378533,0.033848666,0.1268937,0.024325404,0.0042182966,0.085886866
